	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00409	55	69	22	199	40	27
gRNA-No-02471	76	131	73	360	121	152
gRNA-No-02472	0	0	0	0	0	0
gRNA-No-00412	1	37	1	29	3	26
gRNA-No-00415	0	2	0	0	0	0
gRNA-No-00416	4	16	1	13	21	9
gRNA-No-00418	79	48	55	395	65	62
gRNA-No-00419	66	76	42	196	87	72
gRNA-No-00420	0	1	0	1	0	0
gRNA-No-00421	63	92	38	370	85	70
gRNA-No-15274	0	0	0	0	0	0
gRNA-No-00423	0	0	11	4	2	1
gRNA-No-00424	1	11	23	54	12	17
gRNA-No-00425	0	0	4	12	4	7
gRNA-No-00426	5	18	0	0	6	1
gRNA-No-00427	38	127	33	323	46	79
gRNA-No-00428	4	5	0	8	10	19
gRNA-No-00429	35	45	10	116	6	11
gRNA-No-00430	0	43	4	111	0	2
gRNA-No-00431	71	171	33	426	54	97
gRNA-No-00432	0	11	1	5	0	5
gRNA-No-08801	24	43	35	74	8	21
gRNA-No-00434	0	1	0	0	1	0
gRNA-No-00435	538	662	246	1489	440	475
gRNA-No-00436	0	0	0	0	0	0
gRNA-No-08804	21	14	1	13	24	9
gRNA-No-00439	30	37	23	87	22	12
gRNA-No-00440	102	100	55	209	31	15
gRNA-No-00441	1	6	14	17	2	2
gRNA-No-00442	16	27	9	58	1	0
gRNA-No-00443	2	0	0	0	0	0
gRNA-No-00444	0	0	0	0	0	0
gRNA-No-00445	148	186	82	340	147	114
gRNA-No-00446	18	9	1	10	0	0
gRNA-No-08806	3	17	0	7	0	0
gRNA-No-08807	0	0	0	0	0	0
gRNA-No-08808	87	113	35	130	61	42
gRNA-No-00453	4	11	7	34	8	18
gRNA-No-00454	99	77	50	242	79	73
gRNA-No-00455	244	291	61	365	187	116
gRNA-No-00456	18	31	1	17	37	23
gRNA-No-00457	0	0	0	0	0	0
gRNA-No-00458	0	0	13	30	0	0
gRNA-No-00459	0	0	0	0	1	1
gRNA-No-00460	55	55	20	119	25	10
gRNA-No-00461	41	118	77	266	60	97
gRNA-No-02661	168	225	67	235	122	106
gRNA-No-02662	16	25	6	21	5	6
gRNA-No-02663	0	0	0	4	0	0
gRNA-No-00465	98	104	74	424	58	64
gRNA-No-02665	0	0	3	0	0	0
gRNA-No-02666	16	142	12	225	28	131
gRNA-No-02668	13	58	17	77	55	32
gRNA-No-02670	0	0	0	0	0	0
